,DATE,CPIANN
0,1947-01-01,0.1024208566108007
1,1947-02-01,0.09481961147086035
2,1947-03-01,0.06818181818181818
3,1947-04-01,0.08272727272727275
4,1947-05-01,0.09384965831435091
5,1947-06-01,0.09375000000000001
6,1947-07-01,0.09761583445793963
7,1947-08-01,0.09062500000000005
8,1947-09-01,0.06654991243432573
9,1947-10-01,0.061108686163247425
10,1947-11-01,0.04770164787510848
11,1947-12-01,0.027338744126441716
12,1948-01-01,0.013935810810810889
13,1948-02-01,0.01013941698352338
14,1948-03-01,0.017446808510638304
15,1948-04-01,0.004198152812762444
16,1948-05-01,-0.004164931278633962
17,1948-06-01,-0.009523809523809395
18,1948-07-01,-0.028688524590163907
19,1948-08-01,-0.029881293491608694
20,1948-09-01,-0.025041050903119845
21,1948-10-01,-0.02632661456190856
22,1948-11-01,-0.019039735099337783
23,1948-12-01,-0.01829521829521835
24,1949-01-01,-0.02082465639316951
25,1949-02-01,-0.012547051442910946
26,1949-03-01,-0.011292346298619806
27,1949-04-01,-0.01128762541806033
28,1949-05-01,-0.0058552906733584514
29,1949-06-01,-0.001672240802675698
30,1949-07-01,0.015611814345991603
31,1949-08-01,0.02109704641350211
32,1949-09-01,0.024842105263157888
33,1949-10-01,0.03506548373468518
34,1949-11-01,0.03797468354430389
35,1949-12-01,0.05802626005929695
36,1950-01-01,0.07954062101233507
37,1950-02-01,0.09402795425667086
38,1950-03-01,0.09475465313028758
39,1950-04-01,0.09598308668076123
40,1950-05-01,0.09339503575936049
41,1950-06-01,0.08584589614740372
42,1950-07-01,0.0764437058579144
43,1950-08-01,0.06859504132231406
44,1950-09-01,0.06943303204601485
45,1950-10-01,0.06775510204081633
46,1950-11-01,0.06991869918699183
47,1950-12-01,0.059647718174539566
48,1951-01-01,0.04215918045705281
49,1951-02-01,0.022454510259388383
50,1951-03-01,0.019706336939721854
51,1951-04-01,0.020833333333333297
52,1951-05-01,0.018468641785302057
53,1951-06-01,0.02313922097956041
54,1951-07-01,0.029718255499807007
55,1951-08-01,0.03209590100541384
56,1951-09-01,0.023050326546292656
57,1951-10-01,0.020259938837920533
58,1951-11-01,0.014057750759878458
59,1951-12-01,0.009066868152625689
60,1952-01-01,0.0071833648393195195
61,1952-02-01,0.006815600151457771
62,1952-03-01,0.009094353921940069
63,1952-04-01,0.008692365835222994
64,1952-05-01,0.008689081979599562
65,1952-06-01,0.009046362608367825
66,1952-07-01,0.004122938530734611
67,1952-08-01,0.005994754589733988
68,1952-09-01,0.0097634247089749
69,1952-10-01,0.009741476208317647
70,1952-11-01,0.005994754589733988
71,1952-12-01,0.0059902658180456805
72,1953-01-01,0.011261261261261288
73,1953-02-01,0.015043249341857788
74,1953-03-01,0.011265490048817151
75,1953-04-01,0.006369426751592287
76,1953-05-01,0.008614232209737845
77,1953-06-01,0.006350392230108394
78,1953-07-01,0.0026129152668906415
79,1953-08-01,0.0
80,1953-09-01,-0.0029750836742284065
81,1953-10-01,-0.008534322820037122
82,1953-11-01,-0.00260707635009312
83,1953-12-01,-0.0037216226274656276
84,1954-01-01,-0.0063103192279139455
85,1954-02-01,-0.006298629121896931
86,1954-03-01,-0.00519866320089122
87,1954-04-01,-0.002606105733432624
88,1954-05-01,-0.00594132937244709
89,1954-06-01,-0.008537490720118798
90,1954-07-01,-0.00372300819061794
91,1954-08-01,-0.004841713221601584
92,1954-09-01,0.0014919806042522454
93,1954-10-01,0.0037425149700599336
94,1954-11-01,0.003734129947722101
95,1954-12-01,0.003735524841240247
96,1955-01-01,0.0022413149047440686
97,1955-02-01,0.0014914243102162248
98,1955-03-01,0.0037327360955580974
99,1955-04-01,0.005225830533781283
100,1955-05-01,0.009712364587224563
101,1955-06-01,0.016473230999625523
102,1955-07-01,0.019805680119581375
103,1955-08-01,0.02208083832335329
104,1955-09-01,0.018621973929236497
105,1955-10-01,0.025727069351230474
106,1955-11-01,0.023437500000000097
107,1955-12-01,0.028284331968738294
108,1956-01-01,0.03130823704808064
109,1956-02-01,0.03499627699180943
110,1956-03-01,0.03607288955001855
111,1956-04-01,0.03713330857779428
112,1956-05-01,0.03588605253422119
113,1956-06-01,0.03535911602209948
114,1956-07-01,0.03297911322828883
115,1956-08-01,0.03551812522885399
116,1956-09-01,0.035466179159049316
117,1956-10-01,0.029443838604143898
118,1956-11-01,0.032715376226826555
119,1956-12-01,0.030401737242128118
120,1957-01-01,0.03505601734730751
121,1957-02-01,0.03237410071942441
122,1957-03-01,0.03625269203158656
123,1957-04-01,0.03616183315431441
124,1957-05-01,0.03357142857142862
125,1957-06-01,0.028459622909996467
126,1957-07-01,0.024831500532103555
127,1957-08-01,0.023338048090523342
128,1957-09-01,0.02083333333333333
129,1957-10-01,0.02083333333333333
130,1957-11-01,0.019007391763463537
131,1957-12-01,0.017562346329469618
132,1958-01-01,0.012918994413407856
133,1958-02-01,0.010452961672473893
134,1958-03-01,0.0034638032559749865
135,1958-04-01,0.0013821700069108205
136,1958-05-01,0.003455425017277051
137,1958-06-01,0.006918021445866457
138,1958-07-01,0.008999653859466874
139,1958-08-01,0.008293020041465047
140,1958-09-01,0.011760636457973015
141,1958-10-01,0.015219647180906305
142,1958-11-01,0.013816925734024254
143,1958-12-01,0.015188125647221308
144,1959-01-01,0.012409513960703186
145,1959-02-01,0.014137931034482763
146,1959-03-01,0.015188125647221308
147,1959-04-01,0.019323671497584495
148,1959-05-01,0.0182506887052342
149,1959-06-01,0.017176228100309172
150,1959-07-01,0.013722126929674174
151,1959-08-01,0.014736120630568873
152,1959-09-01,0.012307692307692289
